year,lb_prev,lb_prev_ns,lb_ds,lb_ds_ns
1900,22.44251412,22.44251412,6603.223326,0
1901,22.4483824,22.4483824,6772.097608,0
1902,22.45398395,22.45398395,6940.97683,0
1903,22.4593376,22.4593376,7109.860991,0
1904,22.46446043,22.46446043,7278.75009,0
1905,22.46936801,22.46936801,7447.644129,0
1906,22.47407451,22.47407451,7616.543106,0
1907,22.47859291,22.47859291,7785.447022,0
1908,22.52350517,22.52350517,8274.895415,0
1909,22.56406786,22.56406786,8764.544212,0
1910,22.60095148,22.60095148,9254.393416,0
1911,22.63469544,22.63469544,9744.443024,0
1912,22.66573862,22.66573862,10234.69304,0
1913,22.6559237,22.6559237,10152.71834,0
1914,22.64600293,22.64600293,10070.76376,0
1915,22.63597386,22.63597386,9988.829299,0
1916,22.62583393,22.62583393,9906.914948,0
1917,22.61558053,22.61558053,9825.020713,0
1918,22.33439678,22.33439678,10113.11024,0
1919,22.04859207,22.04859207,10388.69273,0
1920,21.75868655,21.75868655,10651.7682,0
1921,21.46512515,21.46512515,10902.33664,0
1922,21.16829066,21.16829066,11140.39805,0
1923,21.03229291,21.03229291,11087.39293,0
1924,20.89708999,20.89708999,11034.56739,0
1925,20.76267793,20.76267793,10981.92144,0
1926,20.62905277,20.62905277,10929.45508,0
1927,20.49621058,20.49621058,10877.16831,0
1928,20.47463661,20.47463661,10912.21541,0
1929,20.45254844,20.45254844,10946.88931,0
1930,20.4299526,20.4299526,10981.19001,0
1931,20.40685549,20.40685549,11015.11751,0
1932,20.38326341,20.38326341,11048.67182,0
1933,20.39055203,20.39055203,10940.02185,0
1934,20.39727217,20.39727217,10830.98952,0
1935,20.40340592,20.40340592,10721.57484,0
1936,20.4089346,20.4089346,10611.7778,0
1937,20.41383872,20.41383872,10501.5984,0
1938,20.48095716,20.48095716,11069.98344,0
1939,20.54693169,20.54693169,11641.21941,0
1940,20.61191326,20.61191326,12215.30629,0
1941,20.67602737,20.67602737,12792.2441,0
1942,20.73937922,20.73937922,13372.03283,0
1943,20.76487603,20.76487603,13432.64215,0
1944,20.78926808,20.78926808,13492.64294,0
1945,20.8125662,20.8125662,13552.03518,0
1946,20.83478108,20.83478108,13610.81889,0
1947,20.85592326,20.85592326,13668.99406,0
1948,21.32017444,21.32017444,14499.42072,0
1949,21.7828532,21.7828532,15351.65351,0
1950,22.24411913,22.24411913,16225.69243,0
1951,22.27533718,22.27533718,16674.71152,0
1952,22.30818206,22.30818206,17108.13367,0
1953,22.3483235,22.3483235,17554.61258,0
1954,22.36790879,22.36790879,17990.48444,0
1955,22.41852544,22.41852544,18441.46558,0
1956,22.38612855,22.38612855,18844.38334,0
1957,22.36377726,22.36377726,19263.93857,0
1958,22.37523713,22.37523713,19688.58424,0
1959,22.41908703,22.41908703,20134.94077,0
1960,22.4928999,22.4928999,20637.46059,0
1961,22.52725158,22.52725158,21104.31773,0
1962,22.68395271,22.68395271,21686.75934,0
1963,22.8121116,22.81213084,22220.9745,0.018747345
1964,22.91065486,22.91069159,22620.26919,0.036261898
1965,23.04387171,23.04392376,22982.92067,0.051911802
1966,23.16552105,23.16558844,23315.99501,0.067827471
1967,23.18675465,23.1867585,23502.49332,0.003900748
1968,23.10566684,23.10568259,23584.06274,0.016071281
1969,23.0392441,23.03927078,23753.46297,0.02751558
1970,22.8539511,22.85398673,23813.73706,0.03712891
1971,22.63424592,22.63429004,23836.52047,0.046468875
1972,22.32492785,22.32498018,23787.32672,0.055755358
1973,22.023437,22.02487551,23743.88147,1.550890604
1974,21.73394125,21.73404079,23629.31262,0.108223642
1975,21.43680972,21.43694134,23555.46964,0.144630129
1976,21.10824592,21.10852256,23488.56371,0.307832548
1977,20.77864024,20.77935066,23387.26554,0.79961116
1978,20.47187739,20.47301108,23320.89534,1.29147174
1979,20.14117176,20.14268989,23150.23462,1.744938934
1980,19.85537273,19.85728197,23001.22026,2.211741482
1981,19.50927848,19.52794172,22801.01465,21.81222938
1982,19.23493952,19.25749814,22643.51506,26.5561751
1983,18.99931629,19.02499178,22469.02273,30.36441618
1984,18.79806939,18.82652133,22318.15263,33.77977774
1985,18.57833753,18.61000474,22137.58658,37.73403645
1986,18.35477269,18.35381769,21916.95501,-1.140344826
1987,18.10932929,18.15898603,21627.88142,59.30479487
1988,17.97183434,18.02227087,21425.78727,60.12976711
1989,17.83145464,17.90257194,21277.49202,84.86115183
1990,17.73704695,17.81999544,21133.92912,98.83424075
1991,17.70437305,17.73588165,21065.10389,37.48971735
1992,17.65786008,17.68658868,20934.73336,34.05993131
1993,17.55129773,17.61784133,20830.24872,78.97534031
1994,17.5042069,17.57373453,20729.82264,82.33993871
1995,17.48176242,17.54818352,20657.51861,78.48723717
1996,17.40846558,17.49169485,20443.76038,97.7409068
1997,17.31504622,17.39738421,20243.08287,96.26164502
1998,17.25502286,17.35198565,20077.25439,112.8220352
1999,17.23259859,17.32054747,19950.09322,101.8179805
2000,17.15666021,17.28046871,19700.74071,142.1674798
2001,17.07753922,17.19062627,19416.57634,128.5760938
2002,17.07107606,17.19824246,19196.50355,142.9992065
2003,17.09552754,17.23690882,18979.97438,156.9658019
2004,17.15186843,17.26344894,18975.62317,123.4448458
2005,17.1352118,17.25702567,18876.00539,134.1891342
2006,17.15936521,17.28190386,18749.22672,133.8921886
2007,16.97947706,17.20181125,18419.08032,241.1847723
2008,16.88361177,17.11978588,18217.10813,254.8275453
2009,16.86074628,17.11181445,18178.72384,270.6937683
2010,16.90093969,17.15993467,18182.15261,278.6286654
2011,16.97569551,17.22981903,18259.88651,273.347663
2012,17.05492293,17.29935437,18219.28127,261.1190522
2013,17.18581494,17.44271558,18264.26092,273.0216931
2014,17.33881902,17.59563766,18385.21674,272.3176506
2015,17.5178174,17.7775884,18470.77791,273.9024082
2016,17.76157143,18.02099055,18360.89836,268.1726679
2017,18.08703392,18.34660912,18614.66163,267.1474316
2018,18.48148341,18.74765334,18830.96827,271.2032027
2019,18.82650409,19.09141979,18768.4488,264.0987751
2020,19.10131497,19.36891943,18697.99643,261.954072
